Year,SERIES,Statističke informacije,UNIT_MEASURE,Value
2014,sdg_06_60,Godišnja vrijednost,PT,0.35
2015,sdg_06_60,Godišnja vrijednost,PT,0.54
2016,sdg_06_60,Godišnja vrijednost,PT,0.33
2017,sdg_06_60,Godišnja vrijednost,PT,0.52
2018,sdg_06_60,Godišnja vrijednost,PT,0.33
2019,sdg_06_60,Godišnja vrijednost,PT,0.4
2020,sdg_06_60,Godišnja vrijednost,PT,2.68
2021,sdg_06_60,Godišnja vrijednost,PT,2.42
2022,sdg_06_60,Godišnja vrijednost,PT,3.04
2023,sdg_06_60,Godišnja vrijednost,PT,1.83
2014,sdg_06_60,Četverogodišnji prosjek,PT,0.58
2015,sdg_06_60,Četverogodišnji prosjek,PT,0.52
2016,sdg_06_60,Četverogodišnji prosjek,PT,0.43
2017,sdg_06_60,Četverogodišnji prosjek,PT,0.43
2018,sdg_06_60,Četverogodišnji prosjek,PT,0.43
2019,sdg_06_60,Četverogodišnji prosjek,PT,0.39
2020,sdg_06_60,Četverogodišnji prosjek,PT,0.98
2021,sdg_06_60,Četverogodišnji prosjek,PT,1.46
2022,sdg_06_60,Četverogodišnji prosjek,PT,2.13
2023,sdg_06_60,Četverogodišnji prosjek,PT,2.49
