Year,SERIES,UNIT_MEASURE,Value
2014,Final energy consumption,Million tonnes of oil equivalent,3.1
2015,Final energy consumption,Million tonnes of oil equivalent,3.3
2016,Final energy consumption,Million tonnes of oil equivalent,3.6
2017,Final energy consumption,Million tonnes of oil equivalent,3.5
2018,Final energy consumption,Million tonnes of oil equivalent,4.2
2019,Final energy consumption,Million tonnes of oil equivalent,4.2
2020,Final energy consumption,Million tonnes of oil equivalent,4.0
2021,Final energy consumption,Million tonnes of oil equivalent,4.3
2022,Final energy consumption,Million tonnes of oil equivalent,4.3
2023,Final energy consumption,Million tonnes of oil equivalent,4.2
2024,Final energy consumption,Million tonnes of oil equivalent,4.4
2014,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,0.81
2015,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,0.9
2016,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,1.01
2017,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,1.0
2018,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,1.21
2022,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,1.25
2023,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,1.22
2024,Final energy consumption,Tonnes of oil equivalent (TOE) per capita,1.28
