Year,SERIES,Spol,Godine,UNIT_MEASURE,Value
2021,Stopa zaposlenosti,Oba spola,od 20 do 64 godine,Postotak ukupnog stanovništva,52.6
2022,Stopa zaposlenosti,Oba spola,od 20 do 64 godine,Postotak ukupnog stanovništva,53.9
2023,Stopa zaposlenosti,Oba spola,od 20 do 64 godine,Postotak ukupnog stanovništva,55.9
2024,Stopa zaposlenosti,Oba spola,od 20 do 64 godine,Postotak ukupnog stanovništva,58.2
2025,Stopa zaposlenosti,Oba spola,od 20 do 64 godine,Postotak ukupnog stanovništva,59.5
2021,Stopa zaposlenosti,Muškarci,od 20 do 64 godine,Postotak ukupnog stanovništva,66.0
2022,Stopa zaposlenosti,Muškarci,od 20 do 64 godine,Postotak ukupnog stanovništva,67.7
2023,Stopa zaposlenosti,Muškarci,od 20 do 64 godine,Postotak ukupnog stanovništva,69.5
2024,Stopa zaposlenosti,Muškarci,od 20 do 64 godine,Postotak ukupnog stanovništva,71.9
2025,Stopa zaposlenosti,Muškarci,od 20 do 64 godine,Postotak ukupnog stanovništva,73.5
2021,Stopa zaposlenosti,Žene,od 20 do 64 godine,Postotak ukupnog stanovništva,39.1
2022,Stopa zaposlenosti,Žene,od 20 do 64 godine,Postotak ukupnog stanovništva,40.0
2023,Stopa zaposlenosti,Žene,od 20 do 64 godine,Postotak ukupnog stanovništva,42.1
2024,Stopa zaposlenosti,Žene,od 20 do 64 godine,Postotak ukupnog stanovništva,44.3
2025,Stopa zaposlenosti,Žene,od 20 do 64 godine,Postotak ukupnog stanovništva,45.2
