Year,SERIES,Професионална позиција,Пол,UNIT_MEASURE,Value
2018,sdg_05_61,Неизвршни директори,Жене,PT,14.8
2019,sdg_05_61,Неизвршни директори,Жене,PT,17.0
2020,sdg_05_61,Неизвршни директори,Жене,PT,17.0
2021,sdg_05_61,Неизвршни директори,Жене,PT,11.3
2022,sdg_05_61,Неизвршни директори,Жене,PT,13.5
2023,sdg_05_61,Неизвршни директори,Жене,PT,12.5
2018,sdg_05_61,Неизвршни и извршни директори,Жене,PT,17.8
2019,sdg_05_61,Неизвршни и извршни директори,Жене,PT,22.0
2020,sdg_05_61,Неизвршни и извршни директори,Жене,PT,19.8
2021,sdg_05_61,Неизвршни и извршни директори,Жене,PT,17.2
2022,sdg_05_61,Неизвршни и извршни директори,Жене,PT,15.5
2023,sdg_05_61,Неизвршни и извршни директори,Жене,PT,19.6
