Year,SERIES,UNIT_MEASURE,Value
2014,sdg_ 07_10,Милион тона еквивалента нафте,5.9
2015,sdg_ 07_10,Милион тона еквивалента нафте,6.1
2016,sdg_ 07_10,Милион тона еквивалента нафте,6.7
2017,sdg_ 07_10,Милион тона еквивалента нафте,6.7
2018,sdg_ 07_10,Милион тона еквивалента нафте,7.4
2019,sdg_ 07_10,Милион тона еквивалента нафте,7.1
2020,sdg_ 07_10,Милион тона еквивалента нафте,7.0
2021,sdg_ 07_10,Милион тона еквивалента нафте,7.3
2022,sdg_ 07_10,Милион тона еквивалента нафте,7.2
2023,sdg_ 07_10,Милион тона еквивалента нафте,6.9
2024,sdg_ 07_10,Милион тона еквивалента нафте,6.8
2014,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,1.55
2015,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,1.66
2016,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,1.9
2017,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,1.91
2018,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,2.11
2022,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,2.09
2023,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,2.0
2024,sdg_ 07_10,Тоне еквивалента нафте (TOE) по глави становника,2.0
2014,sdg_ 07_11,Милион тона еквивалента нафте,3.1
2015,sdg_ 07_11,Милион тона еквивалента нафте,3.3
2016,sdg_ 07_11,Милион тона еквивалента нафте,3.6
2017,sdg_ 07_11,Милион тона еквивалента нафте,3.5
2018,sdg_ 07_11,Милион тона еквивалента нафте,4.2
2019,sdg_ 07_11,Милион тона еквивалента нафте,4.2
2020,sdg_ 07_11,Милион тона еквивалента нафте,4.0
2021,sdg_ 07_11,Милион тона еквивалента нафте,4.3
2022,sdg_ 07_11,Милион тона еквивалента нафте,4.3
2023,sdg_ 07_11,Милион тона еквивалента нафте,4.2
2024,sdg_ 07_11,Милион тона еквивалента нафте,4.4
2014,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,0.81
2015,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,0.9
2016,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,1.01
2017,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,1.0
2018,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,1.21
2022,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,1.25
2023,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,1.22
2024,sdg_ 07_11,Тоне еквивалента нафте (TOE) по глави становника,1.28
