Year,SERIES,Године,Пол,UNIT_MEASURE,Value
2000,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,47.0
2005,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,43.7
2007,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,42.7
2010,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,41.1
2015,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,38.8
2020,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,36.9
2021,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,36.4
2022,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,36.3
2025,Преваленција пушења према полу,15 година и више,Оба пола,Проценат укупног становништва,35.2
2000,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,59.2
2005,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,53.9
2007,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,52.2
2010,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,49.7
2015,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,45.9
2020,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,42.6
2021,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,42.0
2022,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,41.6
2025,Преваленција пушења према полу,15 година и више,Мушкарци,Проценат укупног становништва,39.9
2000,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,34.8
2005,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,33.5
2007,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,33.1
2010,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,32.5
2015,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,31.6
2020,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,31.1
2021,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,30.8
2022,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,30.9
2025,Преваленција пушења према полу,15 година и више,Жене,Проценат укупног становништва,30.5
