Year,SERIES,Nacionalne i međunarodne organizacije i institucije,Spol,UNIT_MEASURE,Value
2018,sdg_05_50,Nacionalni parlament,Žene,PC_WMN,21.1
2019,sdg_05_50,Nacionalni parlament,Žene,PC_WMN,21.1
2020,sdg_05_50,Nacionalni parlament,Žene,PC_WMN,24.6
2021,sdg_05_50,Nacionalni parlament,Žene,PC_WMN,24.6
2022,sdg_05_50,Nacionalni parlament,Žene,PC_WMN,24.6
2023,sdg_05_50,Nacionalni parlament,Žene,PC_WMN,21.1
2025,sdg_05_50,Nacionalni parlament,Žene,PC_WMN,26.3
2018,sdg_05_50,Nacionalna vlada,Žene,PC_WMN,10.0
2019,sdg_05_50,Nacionalna vlada,Žene,PC_WMN,11.1
2020,sdg_05_50,Nacionalna vlada,Žene,PC_WMN,15.0
2021,sdg_05_50,Nacionalna vlada,Žene,PC_WMN,15.0
2022,sdg_05_50,Nacionalna vlada,Žene,PC_WMN,16.7
2023,sdg_05_50,Nacionalna vlada,Žene,PC_WMN,25.0
2025,sdg_05_50,Nacionalna vlada,Žene,PC_WMN,16.3
