Year,SERIES,Spol,UNIT_MEASURE,Value
2000,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,65.6
2010,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,66.9
2015,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,66.9
2016,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,67.0
2017,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,67.1
2018,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,67.2
2019,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,67.0
2020,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,65.9
2021,Godine zdravog života zasnovane na samopercepciji zdravlja,Oba pola,Godina,65.0
2000,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,63.9
2010,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,65.3
2015,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,65.5
2016,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,65.6
2017,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,65.8
2018,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,65.8
2019,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,65.7
2020,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,64.4
2021,Godine zdravog života zasnovane na samopercepciji zdravlja,Muškarci,Godina,63.9
2000,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,67.1
2010,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,68.3
2015,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,68.2
2016,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,68.0
2017,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,68.0
2018,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,69.0
2019,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,68.0
2020,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,67.4
2021,Godine zdravog života zasnovane na samopercepciji zdravlja,Žene,Godina,66.1
