Year,SERIES,Statistički podaci,UNIT_MEASURE,Value
2015,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,1599.0
2017,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,4255.0
2019,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,15.0
2020,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,723.0
2021,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,4857.0
2022,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,23788.0
2023,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,667.0
2024,Utjecaj suše na ekosustave,Godišnja vrijednost,Kvadratnih kilometara,2034.0
2015,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,3.1
2017,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,8.3
2019,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,0.0
2020,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,1.4
2021,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,9.6
2022,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,46.8
2023,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,1.3
2024,Utjecaj suše na ekosustave,Godišnja vrijednost,Postotak,4.0
2015,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,2562.0
2016,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,2562.0
2017,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,2941.0
2018,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,2934.0
2019,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,2935.0
2020,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,3008.0
2021,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,3416.0
2022,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,3694.0
2023,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,3588.0
2024,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Kvadratnih kilometara,3791.0
2015,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,5.0
2016,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,5.0
2017,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,5.8
2018,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,5.8
2019,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,5.8
2020,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,5.9
2021,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,6.7
2022,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,7.3
2023,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,7.1
2024,Utjecaj suše na ekosustave,Desetogodišnji prosjek,Postotak,7.5
