Year,SERIES,Spol,Sektor učinka,UNIT_MEASURE,Value
2017,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,3489.0
2018,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,2853.0
2019,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,2883.0
2020,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,2541.0
2021,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,2492.0
2022,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,2793.0
2023,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,3631.0
2024,sdg_09_30,Oba spola,Svi sektori,NUMBER_ACT_FTE,3453.0
2021,sdg_09_30,Oba spola,Svi sektori,PC_ACT_FTE,0.14
2021,sdg_09_30,Oba spola,Poslovni sektor,PC_ACT_FTE,0.03
2021,sdg_09_30,Oba spola,Vladin sektor,PC_ACT_FTE,0.01
2021,sdg_09_30,Oba spola,Sektor visokog obrazovanja,PC_ACT_FTE,0.01
2021,sdg_09_30,Oba spola,Privatni neprofitni sektor,PC_ACT_FTE,0.0
