Year,SERIES,Spol,UNIT_MEASURE,Value
2012,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.8
2013,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.7
2014,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.7
2015,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.7
2016,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.6
2017,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.6
2018,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.5
2019,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.5
2020,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.4
2021,Standardizirana stopa smrtnosti zbog ubojstava,Oba spola,Stopa na 100.000 stanovnika,1.4
2012,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.7
2013,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.6
2014,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.6
2015,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.6
2016,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.4
2017,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.4
2018,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.3
2019,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.2
2020,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.0
2021,Standardizirana stopa smrtnosti zbog ubojstava,Muškarci,Stopa na 100.000 stanovnika,2.0
2012,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.9
2013,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.9
2014,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.9
2015,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.9
2016,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.9
2017,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.8
2018,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.8
2019,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.8
2020,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.8
2021,Standardizirana stopa smrtnosti zbog ubojstava,Žene,Stopa na 100.000 stanovnika,0.8
